tanggal_kejadian,provinsi,kabupaten_kota,tempat_sekolah,bergejala,meninggal
29 September 2025,Nanggroe Aceh Darussalam,Kabupaten Aceh Utara,SDN 6 Matangkuli,3 Siswa,
24 Januari 2026,Nanggroe Aceh Darussalam,Kabupaten Aceh Timur,TBA (Tidak disebutkan),19 Siswa,
11 Februari 2026,Nanggroe Aceh Darussalam,Kabupaten Aceh Singkil,TK Bunga Al-Qur’an,16 Santri,
11 Februari 2026,Nanggroe Aceh Darussalam,Kabupaten Aceh Singkil,Pesantren Modern Darul Mustafa,17 Santri,
15 Oktober 2025,Sumatera Utara,Kabupaten Toba,SD Tanding Laguboti,60 Siswa,
15 Oktober 2025,Sumatera Utara,Kabupaten Toba,SMPN 1 Laguboti,61 Siswa,
31 Oktober 2025,Sumatera Utara,Kabupaten Nias Utara,SD 071027 Onozitoli Sawo,26 Siswa,
9 Februari 2026,Sumatera Utara,Kabupaten Dairi,SMK Swasta HKBP Sidikalang,135 Siswa,
9 Februari 2026,Sumatera Utara,Kabupaten Dairi,SMK Swasta Arina Sidikalang,136 Siswa,
1 Oktober 2025,Sumatera Barat,Kabupaten Agam,TK (Spesifik tidak disebutkan),24 Siswa,
1 Oktober 2025,Sumatera Barat,Kabupaten Agam,SD (Spesifik tidak disebutkan),24 Siswa,
1 Oktober 2025,Sumatera Barat,Kabupaten Agam,MTS (Tidak diumumkan),24 Siswa,
1 Oktober 2025,Sumatera Barat,Kabupaten Agam,SMP (Tidak diumumkan),24 Siswa,
1 Oktober 2025,Sumatera Barat,Kabupaten Agam,TBA (Tidak diumumkan),26 Siswa,
7 Oktober 2025,Sumatera Barat,Kota Padang Panjang,SDN 9 Kelurahan Ekor Lubuk,4 Siswa,
7 Oktober 2025,Sumatera Barat,Kota Padang Panjang,SDN 10 Tabek Gadang,4 Siswa,
7 Oktober 2025,Sumatera Barat,Kota Padang Panjang,SDN 7 Kelurahan Ganting,4 Siswa,
7 Oktober 2025,Sumatera Barat,Kota Padang Panjang,SDN 5 Kelurahan Sigando,4 Siswa,
7 Oktober 2025,Sumatera Barat,Kota Padang Panjang,SMPN 3 Kelurahan Ekor Lubuk,4 Siswa,
7 Oktober 2025,Sumatera Barat,Kota Padang Panjang,SMKN 2 Kelurahan Ganting,9 Siswa,
4 Februari 2026,Sumatera Barat,Kabupaten Dharmasraya,SMAN 1 Sungai Rumbai,110 Orang,
4 Februari 2026,Sumatera Barat,Kabupaten Dharmasraya,Pondok Pesantrean,111 Orang,
18 Februari 2025,Sumatera Selatan,Kabupaten Empat Lawang,SD Negeri 7 Tebing Tinggi,8 Siswa,
5 Mei 2025,Sumatera Selatan,Kabupaten Penukal Abab Lematang Ilir,SDN 28 Talang Ubi,12 Siswa,
5 Mei 2025,Sumatera Selatan,Kabupaten Penukal Abab Lematang Ilir,SDN 20 Talang Ubi,12 Siswa,
5 Mei 2025,Sumatera Selatan,Kabupaten Penukal Abab Lematang Ilir,SDN 14 Talang Ubi,12 Siswa,
5 Mei 2025,Sumatera Selatan,Kabupaten Penukal Abab Lematang Ilir,SMPN 6 Talang Ubi,12 Siswa,
5 Mei 2025,Sumatera Selatan,Kabupaten Penukal Abab Lematang Ilir,MTs Handayani,12 Siswa,
5 Mei 2025,Sumatera Selatan,Kabupaten Penukal Abab Lematang Ilir,PAUD Marwah,12 Siswa,
5 Mei 2025,Sumatera Selatan,Kabupaten Penukal Abab Lematang Ilir,SMK 1 Handayani,12 Siswa,
5 Mei 2025,Sumatera Selatan,Kabupaten Penukal Abab Lematang Ilir,SMK 2 Agro,12 Siswa,
5 Mei 2025,Sumatera Selatan,Kabupaten Penukal Abab Lematang Ilir,PAUD Rumah Cinta,12 Siswa,
5 Mei 2025,Sumatera Selatan,Kabupaten Penukal Abab Lematang Ilir,TK Al Hafidz,12 Siswa,
5 Mei 2025,Sumatera Selatan,Kabupaten Penukal Abab Lematang Ilir,SMKN 2 Talang Ubi,12 Siswa,
5 Mei 2025,Sumatera Selatan,Kabupaten Penukal Abab Lematang Ilir,SDN 1 Talang Ubi,12 Siswa,
5 Mei 2025,Sumatera Selatan,Kabupaten Penukal Abab Lematang Ilir,SDN 2 Talang Ubi,12 Siswa,
5 Mei 2025,Sumatera Selatan,Kabupaten Penukal Abab Lematang Ilir,SMPN 1 Talang Ubi,18 Siswa,
2 September 2025,Sumatera Selatan,Kabupaten Ogan Komering Ilir,SD Negeri 1 Pedamaran,26 Siswa,
2 September 2025,Sumatera Selatan,Kabupaten Ogan Komering Ilir,SD Negeri 5 Pedamaran,26 Siswa,
2 September 2025,Sumatera Selatan,Kabupaten Ogan Komering Ilir,SMP Negeri 1 Pedamaran,28 Siswa,
3 September 2025,Sumatera Selatan,Kabupaten Musi Banyuasin,SDN 3 Mangun Jaya,9 Siswa,
23 September 2025,Sumatera Selatan,Kabupaten Ogan Komering Ulu,SMPN 9 Ogan Komering Ulu,12 Siswa,
25 September 2025,Sumatera Selatan,Kota Palembang,SDN 178 Palembang,15 Siswa,
5 November 2025,Sumatera Selatan,Kota Palembang,Pondok Pesantren Ma’had Zaadul Ma’ad,20 Santri,
26 November 2025,Sumatera Selatan,Kota Palembang,SMAN 2 Palembang,23 Siswa,
30 Januari 2026,Sumatera Selatan,Kota Palembang,SMPN 31 Palembang,4 Siswa,
9 Februari 2026,Sumatera Selatan,Kabupaten Ogan Ilir,Pondok Pesantren Al Ittifaqiah Indralaya,15 Santri,
22 Agustus 2025,Riau,Kabupaten Indragiri Hilir,SDN 032 Tembilahan,5 Siswa,
22 Agustus 2025,Riau,Kabupaten Indragiri Hilir,SDN 008 Tembilahan,5 Siswa,
22 Agustus 2025,Riau,Kabupaten Indragiri Hilir,SD Muhammadiyah,5 Siswa,
22 Agustus 2025,Riau,Kabupaten Indragiri Hilir,SMA Negeri 1 Kota,5 Siswa,
22 Agustus 2025,Riau,Kabupaten Indragiri Hilir,TK Faturahman,8 Siswa,
28 Agustus 2025,Riau,Kabupaten Kampar,SDN 006 Langgini,18 siswa,
23 Januari 2026,Riau,Kabupaten Siak,SMKN 1 Kandis,21 Siswa,
25 September 2025,Kepulauan Riau,Kabupaten Karimun,SMPN 2 Karimun,14 Siswa,
29 September 2025,Kepulauan Riau,Kota Batam,SDN 016 Seilekop,18 Siswa,
11 November 2025,Kepulauan Riau,Kota Batam,MAN 2 Kota Batam,235 Siswa,
28 Agustus 2025,Bengkulu,Kabupaten Lebong,PAUD IT Al-Azhar,44 Siswa,
28 Agustus 2025,Bengkulu,Kabupaten Lebong,PAUD Az-Zahra,44 Siswa,
28 Agustus 2025,Bengkulu,Kabupaten Lebong,TK Al Akhlak,44 Siswa,
28 Agustus 2025,Bengkulu,Kabupaten Lebong,SD IT Al Azhar,44 Siswa,
28 Agustus 2025,Bengkulu,Kabupaten Lebong,SD IT Al-Azhar Sukabumi,44 Siswa,
28 Agustus 2025,Bengkulu,Kabupaten Lebong,SD Muhammadiyah Ujung Tanjung,44 Siswa,
28 Agustus 2025,Bengkulu,Kabupaten Lebong,SD Muhammadiyah Ujung Tanjung II,44 Siswa,
28 Agustus 2025,Bengkulu,Kabupaten Lebong,SD Negeri 17 Ujung Tanjung I,44 Siswa,
28 Agustus 2025,Bengkulu,Kabupaten Lebong,SD Negeri 25 Desa Sukabumi,44 Siswa,
28 Agustus 2025,Bengkulu,Kabupaten Lebong,SD IT Suka Bumi,44 Siswa,
28 Agustus 2025,Bengkulu,Kabupaten Lebong,SMP 05 Lebong,44 Siswa,
28 Agustus 2025,Bengkulu,Kabupaten Lebong,SMP 16 Lebong,55 Siswa,
30 Januari 2026,Jambi,Kabupaten Muaro Jambi,TK (Spesifik tidak disebutkan),37 Siswa,
30 Januari 2026,Jambi,Kabupaten Muaro Jambi,SD (Spesifik tidak disebutkan),37 Siswa,
30 Januari 2026,Jambi,Kabupaten Muaro Jambi,SMP (Spesifik tidak disebutkan),37 Siswa,
30 Januari 2026,Jambi,Kabupaten Muaro Jambi,SMA (Spesifik tidak disebutkan),39 Siswa,
Agustus 2025,Bangka Belitung,Kabupaten Belitung Timur,TBA (Tidak Diumumkan),TBA (Tidak Diumumkan),
15 Juli 2025,Lampung,Kabupaten Lampung Utara,SD Soekarno Hatta,Puluhan Siswa,
15 Juli 2025,Lampung,Kabupaten Lampung Utara,SD IT Insan Rhobani,Puluhan Siswa,
